productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.7,2024-04-22 10:48:13
ENCHANTED_MELON_BLOCK,51338.5,50861.2,2024-04-22 10:48:13
DIAMOND,9.9,6.8,2024-04-22 10:48:13
SAND,30.0,15.8,2024-04-22 10:48:13
ENCHANTED_DIAMOND_BLOCK,204512.5,202309.2,2024-04-22 10:48:13
OBSIDIAN,34.5,22.6,2024-04-22 10:48:13
ENCHANTED_EMERALD,1417.4,1011.7,2024-04-22 10:48:13
MELON,2.9,0.6,2024-04-22 10:48:13
GOLD_INGOT,6.3,2.6,2024-04-22 10:48:13
EMERALD,8.6,4.0,2024-04-22 10:48:13
ENCHANTED_DIAMOND,1408.6,1317.5,2024-04-22 10:48:13
ENCHANTED_SAND,2424.9,2096.0,2024-04-22 10:48:13
ENCHANTED_LEATHER,7239.9,6576.4,2024-04-22 10:48:13
ENCHANTED_EMERALD_BLOCK,153967.2,147311.1,2024-04-22 10:48:13
LEATHER,126.7,93.9,2024-04-22 10:48:13
IRON_INGOT,13.1,9.5,2024-04-22 10:48:13
ENCHANTED_OBSIDIAN,4206.9,4112.0,2024-04-22 10:48:13
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.7,2024-04-22 10:49:17
ENCHANTED_MELON_BLOCK,51338.5,50861.2,2024-04-22 10:49:17
DIAMOND,9.9,6.8,2024-04-22 10:49:17
SAND,30.0,15.8,2024-04-22 10:49:17
ENCHANTED_DIAMOND_BLOCK,204513.3,202308.8,2024-04-22 10:49:17
OBSIDIAN,34.5,22.7,2024-04-22 10:49:17
ENCHANTED_EMERALD,1399.6,1011.7,2024-04-22 10:49:17
MELON,2.9,0.6,2024-04-22 10:49:17
GOLD_INGOT,6.3,2.6,2024-04-22 10:49:17
EMERALD,8.6,4.1,2024-04-22 10:49:17
ENCHANTED_DIAMOND,1408.6,1317.5,2024-04-22 10:49:17
ENCHANTED_SAND,2424.9,2095.3,2024-04-22 10:49:17
ENCHANTED_LEATHER,7239.4,6576.4,2024-04-22 10:49:17
ENCHANTED_EMERALD_BLOCK,153967.2,147311.1,2024-04-22 10:49:17
LEATHER,126.7,93.9,2024-04-22 10:49:17
IRON_INGOT,13.1,9.5,2024-04-22 10:49:17
ENCHANTED_OBSIDIAN,4207.0,4112.0,2024-04-22 10:49:17
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.8,2024-04-22 10:50:18
ENCHANTED_MELON_BLOCK,51338.5,50861.2,2024-04-22 10:50:18
DIAMOND,9.9,6.8,2024-04-22 10:50:18
SAND,30.0,15.8,2024-04-22 10:50:18
ENCHANTED_DIAMOND_BLOCK,204515.2,202309.0,2024-04-22 10:50:18
OBSIDIAN,34.5,22.7,2024-04-22 10:50:18
ENCHANTED_EMERALD,1399.6,1011.8,2024-04-22 10:50:18
MELON,2.9,0.6,2024-04-22 10:50:18
GOLD_INGOT,6.3,2.6,2024-04-22 10:50:18
EMERALD,8.7,4.1,2024-04-22 10:50:18
ENCHANTED_DIAMOND,1408.6,1317.3,2024-04-22 10:50:18
ENCHANTED_SAND,2424.9,2095.8,2024-04-22 10:50:18
ENCHANTED_LEATHER,7238.9,6576.4,2024-04-22 10:50:18
ENCHANTED_EMERALD_BLOCK,153967.2,147311.1,2024-04-22 10:50:18
LEATHER,126.7,93.9,2024-04-22 10:50:18
IRON_INGOT,13.1,9.5,2024-04-22 10:50:18
ENCHANTED_OBSIDIAN,4207.0,4112.0,2024-04-22 10:50:18
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.9,2024-04-22 10:51:18
ENCHANTED_MELON_BLOCK,51338.5,50861.2,2024-04-22 10:51:18
DIAMOND,10.0,9.0,2024-04-22 10:51:18
SAND,30.0,15.6,2024-04-22 10:51:18
ENCHANTED_DIAMOND_BLOCK,204514.3,202308.9,2024-04-22 10:51:18
OBSIDIAN,34.5,22.7,2024-04-22 10:51:18
ENCHANTED_EMERALD,1400.1,1011.8,2024-04-22 10:51:18
MELON,2.9,0.6,2024-04-22 10:51:18
GOLD_INGOT,6.3,2.6,2024-04-22 10:51:18
EMERALD,8.7,4.1,2024-04-22 10:51:18
ENCHANTED_DIAMOND,1408.5,1317.3,2024-04-22 10:51:18
ENCHANTED_SAND,2424.9,2095.8,2024-04-22 10:51:18
ENCHANTED_LEATHER,7238.3,6576.3,2024-04-22 10:51:18
ENCHANTED_EMERALD_BLOCK,153967.2,147311.1,2024-04-22 10:51:18
LEATHER,126.7,93.9,2024-04-22 10:51:18
IRON_INGOT,13.1,9.5,2024-04-22 10:51:18
ENCHANTED_OBSIDIAN,4207.0,4112.0,2024-04-22 10:51:18
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.9,2024-04-22 10:52:19
ENCHANTED_MELON_BLOCK,51338.6,50861.2,2024-04-22 10:52:19
DIAMOND,10.0,6.8,2024-04-22 10:52:19
SAND,30.0,15.6,2024-04-22 10:52:19
ENCHANTED_DIAMOND_BLOCK,204493.0,202309.0,2024-04-22 10:52:19
OBSIDIAN,34.5,22.7,2024-04-22 10:52:19
ENCHANTED_EMERALD,1401.2,1011.8,2024-04-22 10:52:19
MELON,2.9,0.7,2024-04-22 10:52:19
GOLD_INGOT,6.3,2.6,2024-04-22 10:52:19
EMERALD,8.7,4.1,2024-04-22 10:52:19
ENCHANTED_DIAMOND,1408.6,1317.3,2024-04-22 10:52:19
ENCHANTED_SAND,2424.9,2095.8,2024-04-22 10:52:19
ENCHANTED_LEATHER,7238.3,6576.3,2024-04-22 10:52:19
ENCHANTED_EMERALD_BLOCK,153967.2,147311.1,2024-04-22 10:52:19
LEATHER,126.7,93.9,2024-04-22 10:52:19
IRON_INGOT,13.1,9.5,2024-04-22 10:52:19
ENCHANTED_OBSIDIAN,4207.1,4112.0,2024-04-22 10:52:19
productId,sellPrice,buyPrice,timeStamp
ENCHANTED_MELON,333.0,308.8,2024-04-22 10:53:19
ENCHANTED_MELON_BLOCK,51354.7,50861.2,2024-04-22 10:53:19
DIAMOND,10.0,6.9,2024-04-22 10:53:19
SAND,30.0,15.6,2024-04-22 10:53:19
ENCHANTED_DIAMOND_BLOCK,204487.2,202308.9,2024-04-22 10:53:19
OBSIDIAN,34.5,22.7,2024-04-22 10:53:19
ENCHANTED_EMERALD,1402.3,1011.8,2024-04-22 10:53:19
MELON,2.9,0.7,2024-04-22 10:53:19
GOLD_INGOT,6.3,2.6,2024-04-22 10:53:19
EMERALD,8.7,4.1,2024-04-22 10:53:19
ENCHANTED_DIAMOND,1408.6,1317.3,2024-04-22 10:53:19
ENCHANTED_SAND,2424.9,2095.8,2024-04-22 10:53:19
